Using device: cuda
Training Simple Neural Network (SNN)...
Epoch [285/500], Loss: 0.0347
Epoch [286/500], Loss: 0.0346
Epoch [287/500], Loss: 0.0344
Epoch [288/500], Loss: 0.0343
Epoch [289/500], Loss: 0.0342
Epoch [290/500], Loss: 0.0340
Epoch [291/500], Loss: 0.0339
Epoch [292/500], Loss: 0.0337
Epoch [293/500], Loss: 0.0335
Epoch [294/500], Loss: 0.0334
Epoch [295/500], Loss: 0.0333
Epoch [296/500], Loss: 0.0331
Epoch [297/500], Loss: 0.0330
Epoch [298/500], Loss: 0.0328
Epoch [299/500], Loss: 0.0327
Epoch [300/500], Loss: 0.0325
Epoch [301/500], Loss: 0.0324
Epoch [302/500], Loss: 0.0323
Epoch [303/500], Loss: 0.0322
Epoch [304/500], Loss: 0.0320
Epoch [305/500], Loss: 0.0319
Epoch [306/500], Loss: 0.0317
Epoch [307/500], Loss: 0.0316
Epoch [308/500], Loss: 0.0315
Epoch [309/500], Loss: 0.0313
Epoch [310/500], Loss: 0.0312
Epoch [311/500], Loss: 0.0311
Epoch [312/500], Loss: 0.0309
Epoch [313/500], Loss: 0.0308
Epoch [314/500], Loss: 0.0307
Epoch [315/500], Loss: 0.0306
Epoch [316/500], Loss: 0.0304
Epoch [317/500], Loss: 0.0303
Epoch [318/500], Loss: 0.0302
Epoch [319/500], Loss: 0.0301
Epoch [320/500], Loss: 0.0299
Epoch [321/500], Loss: 0.0298
Epoch [322/500], Loss: 0.0297
Epoch [323/500], Loss: 0.0296
Epoch [324/500], Loss: 0.0294
Epoch [325/500], Loss: 0.0293
Epoch [326/500], Loss: 0.0292
Epoch [327/500], Loss: 0.0291
Epoch [328/500], Loss: 0.0290
Epoch [329/500], Loss: 0.0289
Epoch [330/500], Loss: 0.0287
Epoch [331/500], Loss: 0.0286
Epoch [332/500], Loss: 0.0285
Epoch [333/500], Loss: 0.0284
Epoch [334/500], Loss: 0.0283
Epoch [335/500], Loss: 0.0282
Epoch [336/500], Loss: 0.0280
Epoch [337/500], Loss: 0.0279
Epoch [338/500], Loss: 0.0278
Epoch [339/500], Loss: 0.0277
Epoch [340/500], Loss: 0.0276
Epoch [341/500], Loss: 0.0275
Epoch [342/500], Loss: 0.0273
Epoch [343/500], Loss: 0.0272
Epoch [344/500], Loss: 0.0272
Epoch [345/500], Loss: 0.0270
Epoch [346/500], Loss: 0.0269
Epoch [347/500], Loss: 0.0268
Epoch [348/500], Loss: 0.0267
Epoch [349/500], Loss: 0.0266
Epoch [350/500], Loss: 0.0265
Epoch [351/500], Loss: 0.0264
Epoch [352/500], Loss: 0.0263
Epoch [353/500], Loss: 0.0262
Epoch [354/500], Loss: 0.0261
Epoch [355/500], Loss: 0.0260
Epoch [356/500], Loss: 0.0259
Epoch [357/500], Loss: 0.0258
Epoch [358/500], Loss: 0.0257
Epoch [359/500], Loss: 0.0256
Epoch [360/500], Loss: 0.0254
Epoch [361/500], Loss: 0.0254
Epoch [362/500], Loss: 0.0252
Epoch [363/500], Loss: 0.0252
Epoch [364/500], Loss: 0.0251
Epoch [365/500], Loss: 0.0249
Epoch [366/500], Loss: 0.0249
Epoch [367/500], Loss: 0.0248
Epoch [368/500], Loss: 0.0247
Epoch [369/500], Loss: 0.0246
Epoch [370/500], Loss: 0.0245
Epoch [371/500], Loss: 0.0244
Epoch [372/500], Loss: 0.0243
Epoch [373/500], Loss: 0.0242
Epoch [374/500], Loss: 0.0241
Epoch [375/500], Loss: 0.0240
Epoch [376/500], Loss: 0.0239
Epoch [377/500], Loss: 0.0238
Epoch [378/500], Loss: 0.0237
Epoch [379/500], Loss: 0.0237
Epoch [380/500], Loss: 0.0236
Epoch [381/500], Loss: 0.0235
Epoch [382/500], Loss: 0.0234
Epoch [383/500], Loss: 0.0233
Epoch [384/500], Loss: 0.0232
Epoch [385/500], Loss: 0.0231
Epoch [386/500], Loss: 0.0230
Epoch [387/500], Loss: 0.0230
Epoch [388/500], Loss: 0.0229
Epoch [389/500], Loss: 0.0228
Epoch [390/500], Loss: 0.0227
Epoch [391/500], Loss: 0.0226
Epoch [392/500], Loss: 0.0225
Epoch [393/500], Loss: 0.0224
Epoch [394/500], Loss: 0.0224
Epoch [395/500], Loss: 0.0223
Epoch [396/500], Loss: 0.0221
Epoch [397/500], Loss: 0.0221
Epoch [398/500], Loss: 0.0220
Epoch [399/500], Loss: 0.0219
Epoch [400/500], Loss: 0.0218
Epoch [401/500], Loss: 0.0218
Epoch [402/500], Loss: 0.0217
Epoch [403/500], Loss: 0.0216
Epoch [404/500], Loss: 0.0215
Epoch [405/500], Loss: 0.0214
Epoch [406/500], Loss: 0.0214
Epoch [407/500], Loss: 0.0213
Epoch [408/500], Loss: 0.0212
Epoch [409/500], Loss: 0.0211
Epoch [410/500], Loss: 0.0210
Epoch [411/500], Loss: 0.0210
Epoch [412/500], Loss: 0.0209
Epoch [413/500], Loss: 0.0208
Epoch [414/500], Loss: 0.0208
Epoch [415/500], Loss: 0.0207
Epoch [416/500], Loss: 0.0206
Epoch [417/500], Loss: 0.0205
Epoch [418/500], Loss: 0.0204
Epoch [419/500], Loss: 0.0204
Epoch [420/500], Loss: 0.0203
Epoch [421/500], Loss: 0.0202
Epoch [422/500], Loss: 0.0202
Epoch [423/500], Loss: 0.0201
Epoch [424/500], Loss: 0.0200
Epoch [425/500], Loss: 0.0199
Epoch [426/500], Loss: 0.0199
Epoch [427/500], Loss: 0.0198
Epoch [428/500], Loss: 0.0197
Epoch [429/500], Loss: 0.0197
Epoch [430/500], Loss: 0.0196
Epoch [431/500], Loss: 0.0195
